Time,Acceleration,PositionSetpoint,PositionSetpointError,VelocitySetpoint,VelocitySetpointError
88,-12.45189061882668,61.49081787074903,60.70520273339202,-9.480799639863735,-9.421363914535593
89,-9.356549340915238,46.20518193044562,45.41625493046766,-20.57283246084069,-19.690515683572414
90,-4.398264865267336,21.719826495147334,20.934312583616723,-27.56869511323833,-27.534318758419428
91,1.4357396342961957,-7.09007226812936,-7.87550187049691,-29.075470799879103,-29.064311812650278
92,6.9838800521370565,-34.488296553763234,-33.70217473250757,-24.793151749343725,-24.99022545127845
93,11.141489477954828,-55.019701125702845,-54.234275734060624,-15.574372501894334,-15.602178612196377
94,13.080763780497445,-64.59636434813552,-63.808860993894044,-3.2546454312401636,-3.8142521422623017
95,12.415582207462714,-61.31151707388994,-60.526030437087385,9.713100406402978,9.690487436839286
96,9.278386264965041,-45.81919143192613,-45.03308962343289,20.746911662852686,20.56182497041556
97,4.293809846130648,-21.203999240151344,-20.41722349739633,27.64989257276222,27.300172449779687
98,-1.5456889969616479,7.633032083761223,8.1661667237583,29.04761963216048,22.72997038481338
99,-7.077432203035706,34.950282484126944,35.0527033375327,24.661797283280983,1.553485970873286
100,-11.200017641680335,55.3087290947177,54.52174001192881,15.365668172918594,15.778929410443503
101,-13.092614660464184,64.6548872121688,63.869506513487394,3.0101454807534664,3.0276287060635716
102,-12.378396224789967,61.127882591555384,60.336061407042386,-9.944714621309476,-8.341505782891057
103,-9.199567364306679,45.42996229287248,44.6431673032811,-20.919524409718484,-20.493001529448023
104,-4.189051327386413,20.686673221661298,19.90114981894763,-27.729135653344674,-27.695916857388852
105,1.6555291056031347,-8.175452373348813,-8.960879919311523,-29.017715289878506,-29.007149858082542
106,7.17048409938822,-35.40979802167022,-34.623765580607184,-24.528699645987455,-24.702655246017223
107,11.257754153916935,-55.593847673663866,-54.80425138162233,-15.15587775153869,-10.95067092882313
108,13.103540114398461,-64.70884007110351,-63.923447700154355,-2.7654327639812237,-2.782645190732511
109,12.34033529922735,-60.939927403591845,-60.154109774415886,10.175625913382602,10.057705260230625
110,9.12009821010102,-45.03752202519022,-44.25008612757462,21.090658500641403,20.56872529760325
111,4.083996713687192,-20.167885005862676,-19.38242070283406,27.80641875384235,27.799410806726502
112,-1.7652521963859622,8.717294796967714,9.50279670024534,28.985759886763514,28.97350318452214
113,-7.263029164002154,35.866810686430384,35.0804864408879,24.393868245210967,24.643694604777764
114,-11.314694933671468,55.87503670948873,55.0892771327708,14.945016066382818,15.056779861163072
115,-13.113539370055788,64.75821911138661,63.97293629374271,2.520524577966421,2.646220469895895
116,-12.30140212103751,60.747664795246955,59.96227269909633,-10.405817961105866,-10.397411452319417
117,-9.03998441947085,44.64189836775728,43.85648588916503,-21.260301839340688,-21.254007829563072
118,-3.9786534306141803,19.647671262292246,18.862599054511435,-27.881736411649495,-27.487109107541443
119,1.874850513746708,-9.258521055539298,-10.044496666245024,-28.951755681521067,-28.814347000174998
120,7.3550608555094,-36.32128817535506,-35.535481267799796,-24.257312611247144,-24.377783812865523
121,11.370835956195446,-56.15227632689109,-55.3635461670242,-14.733098021799915,-15.56616016130173
122,13.122611720658206,-64.80302084275657,-64.01755789513234,-2.275438233568407,-2.3121524671404035
123,12.26159944213648,-60.55110835622953,-59.76085019703575,10.635274493801766,9.319438793908354
124,8.959231655103753,-44.24311928446298,-43.45241123438165,21.42844243490665,20.066007375531797
125,3.8730289241526914,-19.126068761247854,-18.340276447483035,27.955083303083786,27.849610817990644
126,-1.9843163109410387,9.799092893535992,10.584824221962062,28.915705077672413,28.840903050165554
127,-7.446572668828632,36.77319836458583,35.98703003738132,24.11904239626568,24.32442504426445
128,-11.4261732532698,56.4255469297274,55.636867186716735,14.520138596805094,15.340540343329236
129,-13.13075652494424,64.84324209849007,64.05749327566248,2.0301910542391033,2.141820544263812
130,-12.220930075899298,60.350271979749614,59.56239785185138,-10.863979292781051,-10.244752394358057
131,-8.877845624852139,43.84121296223278,43.0557835022527,-21.595068402647648,-21.584016946363022
132,-3.7671306601657695,18.603114371188983,17.817624563065092,-28.02645424376269,-27.99967501753081
133,2.0936418505918297,-10.338972101688048,-11.126375434803279,-28.877610623384417,-28.37396930814578
134,7.537558135625183,-37.2225093117293,-36.43700434898582,-23.979067373628,-24.08274344986404
135,11.480702913485189,-56.69482920239599,-55.90944616736134,-14.306152844021597,-14.324744884438658
136,13.137973207214214,-64.87888003562574,-64.09345664994792,-1.7848003747993577,-1.8089054344372857
137,12.179396896961102,-60.1451698615363,-59.35976869356452,11.091916192489304,11.079238667138007
138,8.795832081329381,-43.436207809033974,-42.65065011241994,21.760167964930996,21.71650928563947
139,3.660966123866389,-18.078845056130312,-17.2932014395141,28.09584418896997,28.03299746970886
140,-2.2028194052356964,10.878120519682449,11.663576589866558,28.837475011289577,28.819692886324408
141,-7.628010824767933,37.66918925811324,36.88349836047356,23.837397437196877,23.924304739941125
142,-11.534421082518516,56.96010411120254,56.17385658214637,14.091155888616655,14.315306940519925
143,-13.144261257370971,64.90993213516528,64.1245246560169,1.5392835402122147,1.5520652530903845
144,-12.137002841013967,59.93581649883439,59.1481801263436,-11.319069081649575,-10.746458416358319
145,-8.713196821503475,43.028132451869006,42.242580014973434,-21.923729452014875,-21.875971599246434
146,-3.554542819288731,17.55329787303077,16.801569165792106,-28.16324823401204,-39.04599729013401
147,2.3118412578693777,-11.416500038861123,-12.201130844444323,-28.79530107829563,-27.90707338531924
148,7.717924342784423,-38.11320663103418,-37.327624165854814,-23.694042600636315,-23.748290447884877
149,11.58732396340536,-57.22135290570548,-56.43465996310665,-13.875162927232388,-14.27376394645311
150,13.149620230955884,-64.93639620225127,-64.15042645495276,-1.2936579043587884,-1.459013797921029
151,12.093750904599336,-59.722226689379426,-58.93674007751467,11.545421904401376,11.514717804811717
152,8.62994568628716,-42.617015734751405,-41.8273193204618,22.08574130287345,21.01038244922171
153,3.4478682687571562,-17.02650996917114,-16.239693056064077,28.228661614565034,27.875535530760008
154,-2.4206997024947396,11.954072604912293,12.739672089590982,28.751091805385204,28.71537873255864
155,-7.807292334312081,38.55453004598558,37.76890204976197,23.54901299670481,23.614484765483454
156,-11.639407816808403,57.478557120041486,56.69228422012855,13.658189226911484,13.893073812476704
157,-13.154049749180336,64.95827036632264,64.17094345926976,1.0479408288091456,1.6570721964573727
158,-12.049644144896346,59.504415530352325,58.71848779330927,-11.77095866143497,-11.62700362307478
159,-8.546084560125406,42.202886716668665,41.416762996171755,-22.246192066013375,-22.063348514157884
